Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
FC 023 | DVY | 30 Nisan | CBO | Lead |,TR,Kisisel Gelisim,PSK-DYV-MK-4 | Bos isler|,14.61,3143,3178,21.0,DVY_Egitimi_OptinTebriklerSayfasi,7.305,2.0,4.59723096,0.69571429,1.54185022,2025-05-10,2025-05-22
TT 468 | DVY | AZ-1 | 14D Best Ads. | M4 | Lead | CBO | 16.05.25,AZ,TT SA 62 | AZ Girişimciler | 400k | 15.05.25,PSK-DYV-MK-2,14.29,3193,3301,73.0,DVY_Egitimi_OptinTebriklerSayfasi,1.429,10.0,4.32899121,0.19575342,3.60496819,2025-05-10,2025-05-22
TT 459 | DVY | New Aud. 1-1 | SJ-AI-DVY-MK | M4 | Lead | CBO | 15.05.25,TR,TT SA 45 | UB SA 42+Kişisel Gelişim | 2.7M | 11.03.25,SJ-AI-DVY-MK-2,14.13,3760,3835,29.0,DVY_Egitimi_OptinTebriklerSayfasi,2.01857143,7.0,3.68448501,0.48724138,1.6166884,2025-05-10,2025-05-22
TT 485 | DVY | Best Aud. | B-1 | SJ-AI-DVY-AK | M4 | Lead | CBO | 20.05.25,TR,(+22 Yrs) Winner DA SA44,SJ-AI-DVY-AK-1,13.87,2596,2736,22.0,DVY_Egitimi_OptinTebriklerSayfasi,3.4675,4.0,5.06944444,0.63045455,1.13304094,2025-05-10,2025-05-22
AZ/Turkic | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,AZ,TT SA 50 | UB 49+Gelir | 1.2M | 13.03.25,OTPKİ-OLT-BK-3,13.87,5330,5862,41.0,DVY_Egitimi_OptinTebriklerSayfasi,1.387,10.0,2.36608666,0.33829268,1.14295462,2025-05-10,2025-05-22
TT 458 | DVY | Best Aud. | C-1/AZ Include | BK-SDS | M4 | Lead | CBO | 14.05.25,AZ,TT SA 2 | Kişisel Gelişim-Girişimci/Marketing | 2.8M | 08.11.23,BK-SDS-4,13.51,1835,1975,25.0,DVY_Egitimi_OptinTebriklerSayfasi,4.50333333,3.0,6.84050633,0.5404,2.12658228,2025-05-10,2025-05-22
TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.04.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,OTPKİ-OLT-BK-1,13.48,6552,6926,47.0,DVY_Egitimi_OptinTebriklerSayfasi,1.685,8.0,1.94628934,0.28680851,1.08287612,2025-05-10,2025-05-22
TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.04.25,TR,TT SA 48 | UB 79+Girişimcilik | 3M | 13.03.25,OTPKİ-OLT-BK-3,13.45,6472,6568,31.0,DVY_Egitimi_OptinTebriklerSayfasi,1.92142857,7.0,2.04780755,0.43387097,0.82216809,2025-05-10,2025-05-22
GLOBAL | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,CA,TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25,OTPKİ-OLT-BK-4,13.27,968,1101,9.0,DVY_Egitimi_OptinTebriklerSayfasi,13.27,1.0,12.05267938,1.47444444,2.5431426,2025-05-10,2025-05-22
"FC 013 | DVY| 26 Nisan| 2,15 $ (Bid Edited 8 May- old bid : 1.7$))",TR,"UB | SA 81 | 3.8M | 2,15 $",AK-gbi-1 | Bos isler|,13.19,2060,2314,12.0,DVY_Egitimi_OptinTebriklerSayfasi,2.19833333,6.0,5.70008643,1.09916667,1.25324114,2025-05-10,2025-05-22
TT 481 | DVY | Best Aud. | G-1 | SJ-AI-DVY-MK-V2 | M4 | Lead | CBO | 18.05.25,TR,(+22 Yrs) Winner DA SA29,SJ-AI-DVY-MK-6,13.15,2598,2643,21.0,DVY_Egitimi_OptinTebriklerSayfasi,6.575,2.0,4.97540673,0.62619048,1.17290957,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 68 | AZ Marketing&Money | 350K | 15.05.25,OTPKİ-OLT-BK-2,13.15,3380,3554,65.0,DVY_Egitimi_OptinTebriklerSayfasi,1.315,10.0,3.70005627,0.20230769,3.0669668,2025-05-10,2025-05-22
