Universal_Campaign_ID,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,GR,2.94145946,365,487,3.0,DVY_Egitimi_OptinTebriklerSayfasi,2.94145946,1.0,6.03995782,0.98048649,1.23203285,2025-05-23,2025-05-29
TT 512 | DVY | Best Aud. | B-1 | EMDD-OE | M4 | Lead | CBO | 29.05.25,UZ,2.93310688,1328,1608,8.0,DVY_Egitimi_OptinTebriklerSayfasi,1.46655344,2.0,1.82407144,0.36663836,0.6840796,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,RO,2.92,464,572,4.0,,,,5.1048951,0.73,1.04895105,2025-05-23,2025-05-29
GLOBAL | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,BG,2.88,694,734,1.0,,,,3.92370572,2.88,0.40871935,2025-05-23,2025-05-29
GLOBAL | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,GB,2.86,172,180,1.0,,,,15.88888889,2.86,2.22222222,2025-05-23,2025-05-29
TT 508 | DVY | Best Aud. | B-1 | SJ-OD-MK | M4 | Lead | CBO | 28.05.25,TM,2.86,1424,1589,10.0,,,,1.79987413,0.286,0.94398993,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,UZ,2.81003057,2592,2899,9.0,DVY_Egitimi_OptinTebriklerSayfasi,2.81003057,1.0,0.9693103,0.31222562,0.55191445,2025-05-23,2025-05-29
TT ASC 2 | DVY | EU | 14D Best Ads. | M2 | CBO | Sales | 24.05.25 Campaign,RO,2.8,412,437,2.0,,,,6.40732265,1.4,1.37299771,2025-05-23,2025-05-29
TT 513 | DVY | Best Aud. | A-1 | EMDD-OE  | M4 | Lead | CBO | 29.05.25,UZ,2.76176084,1084,1148,14.0,DVY_Egitimi_OptinTebriklerSayfasi,1.38088042,2.0,2.40571501,0.19726863,1.48083624,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,AF,2.74020718,3712,5163,23.0,DVY_Egitimi_OptinTebriklerSayfasi,1.37010359,2.0,0.53073933,0.11913944,0.8522177,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,HU,2.74002981,320,737,5.0,,,,3.71781521,0.54800596,1.62822252,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,ME,2.72918919,434,624,5.0,DVY_Egitimi_OptinTebriklerSayfasi,2.72918919,1.0,4.37370062,0.54583784,1.6025641,2025-05-23,2025-05-29
GLOBAL | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,NL,2.71,170,183,2.0,DVY_Egitimi_OptinTebriklerSayfasi,2.71,1.0,14.80874317,1.355,2.73224044,2025-05-23,2025-05-29
TT 501 | DVY | Best Aud. | D-1 | MM-DVY-MK | M4 | Lead | CBO | 25.05.25,KZ,2.7,464,564,1.0,,,,4.78723404,2.7,0.70921986,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,ME,2.68,600,882,3.0,,,,3.03854875,0.89333333,0.90702948,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,GR,2.67,568,728,6.0,,,,3.66758242,0.445,1.51098901,2025-05-23,2025-05-29
TT 500 | DVY | Best Aud. | A-1 | MM-DVY-MK | M4 | Lead | CBO | 24.05.25,IQ,2.65,1384,1461,12.0,DVY_Egitimi_OptinTebriklerSayfasi,1.325,2.0,1.81382615,0.22083333,1.30047912,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,KG,2.64019962,1152,1972,15.0,,,,1.33884362,0.17601331,1.31845842,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,IT,2.59019584,1152,1206,7.0,DVY_Egitimi_OptinTebriklerSayfasi,0.86339861,3.0,2.14775774,0.37002798,0.8291874,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,TM,2.57002796,1728,2633,17.0,DVY_Egitimi_OptinTebriklerSayfasi,1.28501398,2.0,0.97608354,0.15117812,0.87352829,2025-05-23,2025-05-29
TT 512 | DVY | Best Aud. | B-1 | EMDD-OE | M4 | Lead | CBO | 29.05.25,CY,2.55140119,1529,1809,13.0,DVY_Egitimi_OptinTebriklerSayfasi,1.27570059,2.0,1.41039314,0.19626163,1.05030404,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,IE,2.55002774,343,343,2.0,,,,7.43448322,1.27501387,3.20699708,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,CZ,2.5000272,288,629,1.0,,,,3.97460604,2.5000272,0.95389507,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,CH,2.4967027,97,117,2.0,DVY_Egitimi_OptinTebriklerSayfasi,2.4967027,1.0,21.33933934,1.24835135,3.41880342,2025-05-23,2025-05-29
TT 497 | DVY | Best Aud. | B-1 | MM-DVY-MK | M4 | Lead | CBO | 24.05.25,KG,2.49,656,908,8.0,,,,2.74229075,0.31125,1.3215859,2025-05-23,2025-05-29
GLOBAL | TT 493 | ÖS | DVY | Best Aud. | B-1 | 14D Best Ads. | M4 | Lead | CBO | 21.05.25,RO,2.48,412,517,7.0,DVY_Egitimi_OptinTebriklerSayfasi,1.24,2.0,4.79690522,0.35428571,1.74081238,2025-05-23,2025-05-29
TT 507 | DVY | Best Aud. | A-1 | SJ-OD-MK | Manuel Placement  | M4 | Lead | CBO | 24.05.25 - Copy,UZ,2.46,700,769,3.0,DVY_Egitimi_OptinTebriklerSayfasi,2.46,1.0,3.19895969,0.82,0.91027308,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,MD,2.42002633,288,772,2.0,DVY_Egitimi_OptinTebriklerSayfasi,2.42002633,1.0,3.13474913,1.21001316,1.03626943,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,CN,2.34017693,640,1375,13.0,DVY_Egitimi_OptinTebriklerSayfasi,1.17008847,2.0,1.70194686,0.18001361,1.16363636,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,SE,2.33497297,130,141,7.0,DVY_Egitimi_OptinTebriklerSayfasi,2.33497297,1.0,16.56009201,0.33356757,10.63829787,2025-05-23,2025-05-29
TT 512 | DVY | Best Aud. | B-1 | EMDD-OE | M4 | Lead | CBO | 29.05.25,GE,2.31032391,805,1054,9.0,,,,2.19195817,0.25670266,1.42314991,2025-05-23,2025-05-29
TT 500 | DVY | Best Aud. | A-1 | MM-DVY-MK | M4 | Lead | CBO | 24.05.25,GE,2.29,536,633,3.0,,,,3.61769352,0.76333333,1.10584518,2025-05-23,2025-05-29
TT 503 | DVY | GLOBAL-ABO | Sales | 26.05.25,SA,2.28,496,628,6.0,,,,3.63057325,0.38,2.07006369,2025-05-23,2025-05-29
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,KZ,2.27017164,1222,1222,6.0,,,,1.85775093,0.37836194,1.30932897,2025-05-23,2025-05-29
GLOBAL | TT 493 | ÖS | DVY | Best Aud. | B-1 | 14D Best Ads. | M4 | Lead | CBO | 21.05.25,ME,2.27,568,722,4.0,DVY_Egitimi_OptinTebriklerSayfasi,2.27,1.0,3.14404432,0.5675,0.96952909,2025-05-23,2025-05-29
TT 504 | DVY | TT SA 73-2 | BROAD-GLOBAL 18-65 | MM-DVY-MK | M4 | Lead | CBO | 27.05.25,BY,2.26421622,344,547,7.0,DVY_Egitimi_OptinTebriklerSayfasi,2.26421622,1.0,4.13933495,0.32345946,1.46252285,2025-05-23,2025-05-29
TT ASC 2 | DVY | EU | 14D Best Ads. | M2 | CBO | Sales | 24.05.25 Campaign,IT,2.25,296,308,4.0,,,,7.30519481,0.5625,1.62337662,2025-05-23,2025-05-29
TT 512 | DVY | Best Aud. | B-1 | EMDD-OE | M4 | Lead | CBO | 29.05.25,IQ,2.24000971,1658,1803,16.0,DVY_Egitimi_OptinTebriklerSayfasi,0.7466699,3.0,1.2423792,0.14000061,1.33111481,2025-05-23,2025-05-29
