Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
003 FC | DVY | 7 Mayis |,TR,(+22 Yrs) FC OTU SA 9,DVY_BIST_FK_5_1 - Kopya,2.64,515,533,5.0,,,,4.95309568,0.528,1.50093809,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,KG,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,2.63011085,896,1190,17.0,BV_YP_DVY_Seminer_ThankYouPage,2.63011085,1.0,2.21017718,0.1547124,2.01680672,2025-05-10,2025-05-22
TT 09 | DVY | B-1 | BK-EMY | M4 | Lead | CBO | 09.05.25,TR,(+22) FC OTU SA 7,BK-EMY-1,2.62,525,536,8.0,BV_YP_DVY_Seminer_ThankYouPage,2.62,1.0,4.8880597,0.3275,2.05223881,2025-05-10,2025-05-22
TT 15 | DVY | TT SA 49 | DVY_BSSG_FK | M4 | Sales | ABO | 10.05.25,TR,2.5 | TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25 - Copy 3,DVY_BSSG_FK_2_1,2.62,524,542,1.0,,,,4.83394834,2.62,0.92250923,2025-05-10,2025-05-22
TT 30 | Test-005 FC/aud mixed | DVY | OTPKI-OLT-BK | Lead | 12.05.25,TR,(+22 Yrs) FC OTU SA 9,OTPKİ-OLT-BK-3,2.61,504,572,7.0,BV_YP_DVY_Seminer_ThankYouPage,0.87,3.0,4.56293706,0.37285714,2.0979021,2025-05-10,2025-05-22
TT 24 | DVY | A-1 | DVY_LU_FK | M4 | Lead | CBO | 12.05.25,TR,(+22 Yrs) UB | SA 49,DVY_LU_FK_3,2.52,305,308,,,,,8.18181818,,0.97402597,2025-05-10,2025-05-22
005 FC | DVY | 9 Mayis | BK - ELM,FR,(+22 Yrs) FC SA 60,BK-EMY-3 - Kopya,2.46737037,320,381,2.0,,,,6.47603772,1.23368519,1.04986877,2025-05-10,2025-05-22
TT 11 | DVY | B-1 | DVY_BSSG_FK | M4 | Lead | CBO | 10.05.25,TR,(+22 Yrs) Winner DA SA44,DVY_BSSG_FK_3_1,2.46,452,459,2.0,BV_YP_DVY_Seminer_ThankYouPage,2.46,1.0,5.35947712,1.23,1.08932462,2025-05-10,2025-05-22
TT 15 | DVY | TT SA 49 | DVY_BSSG_FK | M4 | Sales | ABO | 10.05.25,TR,2.1 | TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25,DVY_BSSG_FK_1_1,2.45,369,377,1.0,,,,6.49867374,2.45,0.79575597,2025-05-10,2025-05-22
005 FC | DVY | 9 Mayis | BK - ELM,MK,(+22 Yrs) FC SA 60,BK-EMY-3 - Kopya,2.43752315,1184,1342,6.0,,,,1.81633618,0.40625386,0.81967213,2025-05-10,2025-05-22
TT 34 | DVY | TT SA 47-Global | FK&BK | M4 | Sales | CBO-BID | 22.05.25,NL,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,2.43097215,100,104,1.0,,,,23.37473224,2.43097215,0.96153846,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,GE,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-1,2.42983805,920,1022,9.0,,,,2.37753234,0.26998201,1.76125245,2025-05-10,2025-05-22
TT ASC 3 | DVY | 14D Best Ads. | M4 | Coscap-2$ | 19.05.25 Campaign,TR,TT ASC 3 | DVY | 14D Best Ads. | M4 | Coscap-2$ | 19.05.25 Ad set,OTPKİ-OLT-BK-1,2.41,554,575,3.0,BV_YP_DVY_Seminer_ThankYouPage,2.41,1.0,4.19130435,0.80333333,1.2173913,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,IQ,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-EMY-3,2.41,1528,1672,7.0,BV_YP_DVY_Seminer_ThankYouPage,1.205,2.0,1.44138756,0.34428571,0.77751196,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,CY,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-3,2.4,844,906,8.0,,,,2.64900662,0.3,1.32450331,2025-05-10,2025-05-22
TT 15 | DVY | TT SA 49 | DVY_BSSG_FK | M4 | Sales | ABO | 10.05.25,TR,2.5 | TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25 - Copy 3,DVY_BSSG_FK_1_1,2.39,521,532,4.0,BV_YP_DVY_Seminer_ThankYouPage,2.39,1.0,4.4924812,0.5975,0.93984962,2025-05-10,2025-05-22
TT 17 | DVY | Hedeflemesiz | IPS-DYV-MK-P2 | M4 | Lead | CBO | 11.05.25,TR,25-55,IPS-DYV-MK-5,2.36,338,344,2.0,,,,6.86046512,1.18,0.87209302,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,2.35,242,252,3.0,,,,9.32539683,0.78333333,2.77777778,2025-05-10,2025-05-22
005 FC | DVY | 9 Mayis | BK - ELM,TR,(+22 Yrs) FC SA 60,BK-EMY-2 - Kopya,2.33,401,411,5.0,,,,5.66909976,0.466,1.70316302,2025-05-10,2025-05-22
AZ/Turkic | TT 31 | DVY | B-1 | 14D Best Ads. | M4 | Lead | CBO | 13.05.25,KG,UB | SA 42 | ( FC OTU SA 7 | Futbol Edited | 2.3M),BK-LUI-1,2.32,612,639,3.0,,,,3.63067293,0.77333333,1.09546166,2025-05-10,2025-05-22
TT 11 | DVY | B-1 | DVY_BSSG_FK | M4 | Lead | CBO | 10.05.25,TR,(+22) | UB | SA 63,DVY_BSSG_FK_2_1,2.31,380,388,1.0,BV_YP_DVY_Seminer_ThankYouPage,2.31,1.0,5.95360825,2.31,0.51546392,2025-05-10,2025-05-22
TT 18 | DVY | D-1 | LVEY-DVY-MK | M4 | Lead | CBO | 11.05.25,TR,(+22 Yrs) FC OTU SA 9,LVEY-DVY-MK-2,2.3,378,405,2.0,,,,5.67901235,1.15,0.98765432,2025-05-10,2025-05-22
TT 33 | DVY | TT SA 47 | SJ-MK | M4 | Sales | CBO-BID | 16.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-1,2.27,481,486,,,,,4.67078189,,0.61728395,2025-05-10,2025-05-22
TT 17 | DVY | Hedeflemesiz | IPS-DYV-MK-P2 | M4 | Lead | CBO | 11.05.25,TR,22-45,IPS-DYV-MK-6,2.24,288,294,,,,,7.61904762,,0.68027211,2025-05-10,2025-05-22
TT 18 | DVY | D-1 | LVEY-DVY-MK | M4 | Lead | CBO | 11.05.25,TR,TT SA 40 | SC Winner DA SA4 - Kişisel Gelişim,LVEY-DVY-MK-3,2.22,336,343,4.0,BV_YP_DVY_Seminer_ThankYouPage,2.22,1.0,6.47230321,0.555,1.16618076,2025-05-10,2025-05-22
TT 23 | DVY | C-1 | IPS-DYV-MK-P2 | M4 | Lead | CBO | 12.05.25,TR,UB | SA 27 | Evden Çalışma | 3.5M,IPS-DYV-MK-4,2.21,395,399,4.0,BV_YP_DVY_Seminer_ThankYouPage,2.21,1.0,5.53884712,0.5525,1.25313283,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TM,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-EMY-3,2.21,988,1028,13.0,BV_YP_DVY_Seminer_ThankYouPage,0.442,5.0,2.14980545,0.17,1.26459144,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,GE,2.25 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-EMY-3,2.15,736,859,3.0,BV_YP_DVY_Seminer_ThankYouPage,2.15,1.0,2.50291036,0.71666667,1.6298021,2025-05-10,2025-05-22
TT 21 | DVY | New Aud.-1 | IPS-DYV-MK-P2 | M4 | Lead | CBO | 12.05.25,UZ,TT SA 43 | FC SA 7&Yazarlar | 1.5M | 11.03.25,IPS-DYV-MK-4,2.13,786,799,2.0,,,,2.66583229,1.065,0.37546934,2025-05-10,2025-05-22
005 FC | DVY | 9 Mayis | BK - ELM,PL,(+22 Yrs) FC SA 60,BK-EMY-3 - Kopya,2.11915278,378,378,6.0,BV_YP_DVY_Seminer_ThankYouPage,2.11915278,1.0,5.60622428,0.35319213,2.91005291,2025-05-10,2025-05-22
TT 34 | DVY | TT SA 47-Global | FK&BK | M4 | Sales | CBO-BID | 22.05.25,DE,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,2.11,80,80,3.0,,,,26.375,0.70333333,3.75,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,CY,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-2,2.11,696,785,4.0,,,,2.68789809,0.5275,1.01910828,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TM,2.25 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-EMY-3,2.09,1168,1190,13.0,,,,1.75630252,0.16076923,1.51260504,2025-05-10,2025-05-22
TT 34 | DVY | TT SA 47-Global | FK&BK | M4 | Sales | CBO-BID | 22.05.25,CA,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,2.0779264,106,113,1.0,,,,18.38872925,2.0779264,1.7699115,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TR,1.75 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-1,2.06,619,630,11.0,BV_YP_DVY_Seminer_ThankYouPage,0.515,4.0,3.26984127,0.18727273,2.38095238,2025-05-10,2025-05-22
