Campaign name,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,AM,0.13,16,25,,,,,5.2,,8.0,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,IE,0.13,6,8,,,,,16.25,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,SA,0.13,80,104,2.0,,,,1.25,0.065,2.88461538,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,UA,0.13,31,34,2.0,,,,3.82352941,0.065,8.82352941,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,GR,0.13,25,25,,,,,5.2,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,US,0.13,24,51,,,,,2.54901961,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,BG,0.13,8,33,1.0,,,,3.93939394,0.13,3.03030303,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,MX,0.12,8,12,2.0,BV_YP_DVY_Seminer_ThankYouPage,0.12,1.0,10.0,0.06,33.33333333,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,MX,0.12,8,12,1.0,,,,10.0,0.12,25.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,SK,0.12,4,6,1.0,,,,20.0,0.12,33.33333333,2025-05-23,2025-05-29
TT 35 | DVY | GLOBAL-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,ME,0.12,31,32,,,,,3.75,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,RS,0.12,22,22,,,,,5.45454545,,0.0,2025-05-23,2025-05-29
TT 36 | DVY | AVRUPA-Hedeflemesiz | OLT-BK | M4 | Lead | CBO | 24.05.25,MT,0.12,13,15,,,,,8.0,,0.0,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,MK,0.11,40,52,2.0,,,,2.11538462,0.055,5.76923077,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,BR,0.11,8,25,,,,,4.4,,0.0,2025-05-23,2025-05-29
TT 06 | DVY | C-1 | 14D Best Ads.-P1 | M4 | Lead | CBO | 08.05.25,BE,0.11,22,22,,,,,5.0,,0.0,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TZ,0.11,24,50,,,,,2.2,,0.0,2025-05-23,2025-05-29
